case	method	accepted	exact_oracle_partition	oracle_pair_recall	wrong_pairs	coarse_dimension	coarse_tuples	compatible_factor	two_grid_condition	oracle_recovery	bootstrap_rounds	bootstrap_witnesses	stop_reason
voltage-latin	oracle	true	true	1.000000	0	24	64	8.311614248e-1	1.412141915e0	1.000000000e0	0	0	oracle
voltage-latin	one-shot-pair-neighborhood	true	false	0.000000	22	26	116	6.493804698e-1	1.203601499e0	1.272360226e0	0	0	one-shot
voltage-latin	bootstrap	true	false	0.000000	22	26	120	6.818986144e-1	1.250133697e0	1.211587739e0	1	0	AcceptedInitial
voltage-weak-cycle	oracle	true	true	1.000000	0	24	24	9.846036189e-1	3.567698515e2	1.000000000e0	0	0	oracle
voltage-weak-cycle	one-shot-pair-neighborhood	false	false	0.000000	13	35	47	9.764037381e-1	2.638813696e2	1.273782887e0	0	0	one-shot
voltage-weak-cycle	bootstrap	false	false	0.000000	23	25	47	9.633408635e-1	2.350355834e2	1.358804006e0	1	0	TupleReductionBudget { observed: 0.02083333333333337, minimum: 0.05 }
voltage-nearly-nested	oracle	true	true	1.000000	0	21	98	8.310737589e-1	1.863186759e0	1.000000000e0	0	0	oracle
voltage-nearly-nested	one-shot-pair-neighborhood	false	false	0.238095	15	22	139	8.153737796e-1	4.726442034e1	6.121517463e-1	0	0	one-shot
voltage-nearly-nested	bootstrap	false	false	0.000000	21	21	154	9.303349066e-1	5.537710237e1	5.428476921e-1	6	5	WitnessBudget { maximum: 5 }
voltage-communities	oracle	true	true	1.000000	0	24	64	8.925848363e-1	3.727892424e0	1.000000000e0	0	0	oracle
voltage-communities	one-shot-pair-neighborhood	false	false	0.000000	24	24	102	7.515450316e-1	2.611713398e0	1.008672797e0	0	0	one-shot
voltage-communities	bootstrap	false	false	0.041667	22	25	112	7.253124137e-1	4.832587443e0	9.914164350e-1	6	5	WitnessBudget { maximum: 5 }
