set	case	family	method	iteration	relative_true_residual
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	baseline-symmetric-map	0	1.000000000000e0
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	baseline-symmetric-map	1	1.941561329234e-2
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	baseline-symmetric-map	2	8.820856068990e-3
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	baseline-symmetric-map	3	3.825760323607e-3
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	baseline-symmetric-map	4	4.623463091231e-3
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	baseline-symmetric-map	5	3.812173583801e-3
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	baseline-symmetric-map	6	2.648366940252e-3
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	baseline-symmetric-map	7	1.204125454956e-3
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	baseline-symmetric-map	8	1.520493841104e-4
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	baseline-symmetric-map	9	6.232601164249e-5
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	baseline-symmetric-map	10	8.169552265975e-6
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	baseline-symmetric-map	11	4.326037140133e-7
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	baseline-symmetric-map	12	5.738069357306e-9
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	baseline-symmetric-map	13	3.868020174505e-10
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	baseline-symmetric-map	14	2.701601045158e-12
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	oracle	0	1.000000000000e0
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	oracle	1	1.053001495962e-2
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	oracle	2	1.828431569752e-3
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	oracle	3	5.771129820726e-4
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	oracle	4	8.576454687347e-5
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	oracle	5	5.831605586463e-6
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	oracle	6	9.001107495852e-7
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	oracle	7	1.636971596812e-8
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	oracle	8	1.534869590548e-10
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	oracle	9	2.161567608390e-13
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	one-shot-pair-neighborhood	0	1.000000000000e0
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	one-shot-pair-neighborhood	1	7.162091701454e-3
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	one-shot-pair-neighborhood	2	2.714986355782e-3
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	one-shot-pair-neighborhood	3	1.795894233592e-3
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	one-shot-pair-neighborhood	4	3.880896276882e-4
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	one-shot-pair-neighborhood	5	2.700638375126e-5
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	one-shot-pair-neighborhood	6	1.761924727131e-6
portfolio-holdout	dominant-pair-weak-third-cover-600	dominant-pair-weak-third	one-shot-pair-neighborhood	7	1.208978808661e-7
