case	family	depth	dimension	tuples	components	level_dimensions	level_tuples	terminal_rank	method	pair_levels	dimension_complexity	tuple_complexity	preconditioned_condition_number	optimal_energy_spectral_radius	one_cycle_error_spectral_radius	one_cycle_energy_operator_norm	pcg_iterations	pcg_final_relative_residual	gramian_applications	preconditioner_applications	retained_bytes_estimate	apply_scratch_bytes_estimate
weak-chain-depth-2	weak-chain-depth-2	2	24	80	1	NA	NA	0	diagonal	0	1.000000000	1.000000000	1.693251916918e2	9.882577557663e-1	9.911413063525e-1	9.911413063525e-1	19	4.271895642572e-11	38	19	3032	0
weak-chain-depth-2	weak-chain-depth-2	2	24	80	1	NA	NA	0	symmetric-map	0	1.000000000	1.000000000	5.547778426759e1	9.645878458949e-1	9.819747667791e-1	9.819747667791e-1	9	4.929394174408e-11	18	9	2840	0
weak-chain-depth-2	weak-chain-depth-2	2	24	80	1	NA	NA	0	pair-cmg	0	1.000000000	1.000000000	2.054762469013e0	3.452846104115e-1	5.000000000000e-1	5.000000000000e-1	11	1.397376167842e-11	22	11	13648	0
weak-chain-depth-2	weak-chain-depth-2	2	24	80	1	24,12,6	80,20,5	4	oracle-jacobi	0	1.750000000	1.312500000	1.597156407628e0	2.299270101232e-1	3.738872440896e-1	3.738872440896e-1	10	2.200422951330e-11	20	10	4788	2352
weak-chain-depth-2	weak-chain-depth-2	2	24	80	1	24,12,6	80,20,5	4	oracle-pair-finest	1	1.750000000	1.312500000	1.020740351277e0	1.026373886401e-2	2.031892954118e-2	2.031892954118e-2	4	8.119083675138e-11	8	4	15012	2352
weak-chain-depth-2	weak-chain-depth-2	2	24	80	1	24,12,6	80,20,5	4	oracle-pair-first-two	2	1.750000000	1.312500000	1.018121222915e0	8.979253926438e-3	1.779868890562e-2	1.779868890562e-2	4	4.779561373876e-11	8	4	18708	2352
weak-chain-depth-2	weak-chain-depth-2	2	24	80	1	24,12,6	80,20,5	4	oracle-pair-all-levels	2	1.750000000	1.312500000	1.018121222915e0	8.979253926438e-3	1.779868890562e-2	1.779868890562e-2	4	4.779561373876e-11	8	4	18708	2352
weak-chain-depth-2	weak-chain-depth-2	2	24	80	1	24,12,6	80,20,5	4	oracle-map-all-levels	0	1.750000000	1.312500000	1.002851500941e0	1.423720600340e-3	2.843393003481e-3	2.843393003481e-3	3	4.364389623398e-11	6	3	4500	2352
community-depth-2	community-depth-2	2	24	128	1	NA	NA	0	diagonal	0	1.000000000	1.000000000	7.127941637203e1	9.723296050191e-1	9.789560566522e-1	9.789560566522e-1	19	9.426489860462e-12	38	19	4376	0
community-depth-2	community-depth-2	2	24	128	1	NA	NA	0	symmetric-map	0	1.000000000	1.000000000	2.245648332944e1	9.147357269242e-1	9.554694301272e-1	9.554694301272e-1	9	1.475647764505e-11	18	9	4184	0
community-depth-2	community-depth-2	2	24	128	1	NA	NA	0	pair-cmg	0	1.000000000	1.000000000	2.063709935980e0	3.471966857854e-1	5.000000000000e-1	5.000000000000e-1	10	4.384366303121e-11	20	10	14992	0
community-depth-2	community-depth-2	2	24	128	1	24,12,6	128,32,8	4	oracle-jacobi	0	1.750000000	1.312500000	1.607806904497e0	2.330720512507e-1	3.780347644962e-1	3.780347644962e-1	10	1.909915831780e-11	20	10	6552	2352
community-depth-2	community-depth-2	2	24	128	1	24,12,6	128,32,8	4	oracle-pair-finest	1	1.750000000	1.312500000	1.030495449785e0	1.501872352770e-2	2.959299800007e-2	2.959299800007e-2	5	1.347069988280e-12	10	5	16776	2352
community-depth-2	community-depth-2	2	24	128	1	24,12,6	128,32,8	4	oracle-pair-first-two	2	1.750000000	1.312500000	1.022039517450e0	1.089964724208e-2	2.156425174706e-2	2.156425174706e-2	4	5.721901959855e-11	8	4	20472	2352
community-depth-2	community-depth-2	2	24	128	1	24,12,6	128,32,8	4	oracle-pair-all-levels	2	1.750000000	1.312500000	1.022039517450e0	1.089964724208e-2	2.156425174706e-2	2.156425174706e-2	4	5.721901959855e-11	8	4	20472	2352
community-depth-2	community-depth-2	2	24	128	1	24,12,6	128,32,8	4	oracle-map-all-levels	0	1.750000000	1.312500000	1.004389380542e0	2.189884153412e-3	4.370198079300e-3	4.370198079300e-3	3	8.437566335464e-11	6	3	6264	2352
weak-chain-depth-3	weak-chain-depth-3	3	48	320	1	NA	NA	0	diagonal	0	1.000000000	1.000000000	1.692030451384e2	9.882493289214e-1	9.911349113205e-1	9.911349113205e-1	21	2.199292210980e-11	42	21	10520	0
weak-chain-depth-3	weak-chain-depth-3	3	48	320	1	NA	NA	0	symmetric-map	0	1.000000000	1.000000000	5.543279012322e1	9.645596116082e-1	9.819601359091e-1	9.819601359091e-1	10	6.526682229131e-12	20	10	10136	0
weak-chain-depth-3	weak-chain-depth-3	3	48	320	1	NA	NA	0	pair-cmg	0	1.000000000	1.000000000	2.054680640044e0	3.452670718563e-1	5.000000000000e-1	5.000000000000e-1	12	9.850891332818e-12	24	12	43792	0
weak-chain-depth-3	weak-chain-depth-3	3	48	320	1	48,24,12,6	320,80,20,5	4	oracle-jacobi	0	1.875000000	1.328125000	1.520458515450e0	2.064935852978e-1	3.423036604821e-1	3.423036604821e-1	10	4.182693080024e-11	20	10	15500	5040
weak-chain-depth-3	weak-chain-depth-3	3	48	320	1	48,24,12,6	320,80,20,5	4	oracle-pair-finest	1	1.875000000	1.328125000	1.014825695565e0	7.358301811420e-3	1.460910541598e-2	1.460910541598e-2	5	3.770920014552e-13	10	5	47996	5040
weak-chain-depth-3	weak-chain-depth-3	3	48	320	1	48,24,12,6	320,80,20,5	4	oracle-pair-first-two	2	1.875000000	1.328125000	1.010478535872e0	5.211961075358e-3	1.036987476707e-2	1.036987476707e-2	4	1.777474440389e-11	8	4	58220	5040
weak-chain-depth-3	weak-chain-depth-3	3	48	320	1	48,24,12,6	320,80,20,5	4	oracle-pair-all-levels	3	1.875000000	1.328125000	1.010472091085e0	5.208772174374e-3	1.036356291063e-2	1.036356291063e-2	4	1.863977348333e-11	8	4	61916	5040
