case	family	dimension	tuples	components	coarse_dimension	coarse_tuples	method	role	preconditioner_symmetry_defect	quotient_symmetry_defect	range_leakage	minimum_preconditioner_energy	minimum_preconditioned_eigenvalue	maximum_preconditioned_eigenvalue	preconditioned_condition_number	one_step_error_spectral_radius	one_step_error_energy_norm	pcg_iterations	pcg_converged	pcg_final_relative_residual	gramian_applications	preconditioner_applications	retained_bytes_estimate
planted-communities	planted-communities	24	256	1	12	64	jacobi-0.4	smoother-only	0.000000000000e0	8.283409936526e-17	2.637383041113e-2	1.310088057118e-1	1.594725459360e-2	1.200000000000e0	7.524806185017e1	9.840527454064e-1	9.840527454064e-1	16	true	1.861184060237e-11	32	16	7960
planted-communities	planted-communities	24	256	1	12	64	jacobi-0.5	smoother-only	0.000000000000e0	7.814666669249e-17	2.637383041113e-2	1.637610071398e-1	1.993406824201e-2	1.500000000000e0	7.524806185017e1	9.800659317580e-1	9.800659317580e-1	16	true	1.663349470023e-11	32	16	7960
planted-communities	planted-communities	24	256	1	12	64	jacobi-0.6	smoother-only	0.000000000000e0	9.859046279976e-17	2.637383041113e-2	1.965132085678e-1	2.392088189041e-2	1.800000000000e0	7.524806185017e1	9.760791181096e-1	9.760791181096e-1	16	true	1.757175334237e-11	32	16	7960
planted-communities	planted-communities	24	256	1	12	64	symmetric-map	smoother-only	2.089581850982e-16	3.448524458377e-16	6.449225917443e-15	8.138539522546e-2	4.065529476654e-2	1.000000000000e0	2.459704217476e1	9.593447052335e-1	9.593447052335e-1	8	true	1.416943672050e-12	16	8	7768
planted-communities	planted-communities	24	256	1	12	64	exact-pair-schwarz	smoother-only	2.420267734263e-16	2.830811962337e-16	9.476811491181e-15	1.926832500777e-1	7.548305325631e-1	1.500000000000e0	1.987201014387e0	5.000000000000e-1	5.000000000000e-1	9	true	3.159671573924e-11	18	9	14296
planted-communities	planted-communities	24	256	1	12	64	pair-cmg-all	smoother-only	3.027228391502e-16	3.423767802376e-16	9.567065867224e-15	1.926832500777e-1	7.548305325631e-1	1.500000000000e0	1.987201014387e0	5.000000000000e-1	5.000000000000e-1	9	true	3.159667901104e-11	18	9	18576
planted-communities	planted-communities	24	256	1	12	64	selected-1-2-plus-jacobi	smoother-only	4.192668366797e-16	4.259862482071e-16	1.215964122745e-3	4.569132825436e-2	6.405624364760e-3	8.750000000000e-1	1.365987061017e2	9.935943756352e-1	9.935943756352e-1	16	true	2.101503556935e-12	32	16	19336
planted-communities	planted-communities	24	256	1	12	64	selected-1-2-plus-map	smoother-only	3.300886739903e-16	3.587412455992e-16	1.147174077084e-14	1.533547279502e-1	5.749293114157e-2	1.500000000000e0	2.609016395957e1	9.425070688584e-1	9.425070688584e-1	10	true	5.057990612849e-12	20	10	19144
planted-communities	planted-communities	24	256	1	12	64	exact-coarse-only	coarse-only	1.483288512366e-16	1.920238912981e-16	9.648550137007e-15	-1.065450714899e-15	-3.945038650887e-16	1.000000000000e0	inf	1.000000000000e0	1.000000000000e0	NA	NA	NA	NA	NA	11216
planted-communities	planted-communities	24	256	1	12	64	two-grid-jacobi	two-grid	2.574195442470e-16	3.306757633850e-16	9.624930526925e-15	1.289823208681e-1	6.671918062556e-1	1.000000000000e0	1.498819365922e0	3.328081937444e-1	3.328081937444e-1	7	true	8.271673027811e-11	14	7	11408
planted-communities	planted-communities	24	256	1	12	64	two-grid-symmetric-map	two-grid	2.519526120711e-16	4.100294299498e-16	9.576465608754e-15	1.292756093702e-1	9.994735730753e-1	1.000000000000e0	1.000526704196e0	5.264269247411e-4	5.264269247411e-4	3	true	1.597850081219e-13	6	3	11216
planted-communities	planted-communities	24	256	1	12	64	two-grid-exact-pair	two-grid	1.601023360995e-16	3.040303612862e-16	9.720456620315e-15	1.292715721007e-1	9.916884789653e-1	1.000000000000e0	1.008381181400e0	8.311521034666e-3	8.311521034666e-3	4	true	9.251717222528e-13	8	4	25512
planted-communities	planted-communities	24	256	1	12	64	two-grid-pair-cmg	two-grid	1.477755618041e-16	2.384498353523e-16	9.694806946317e-15	1.292715721007e-1	9.916884789653e-1	1.000000000000e0	1.008381181400e0	8.311521034666e-3	8.311521034666e-3	4	true	9.251949273458e-13	8	4	29792
dominant-pair-weak-third	dominant-pair-weak-third	36	288	1	18	72	jacobi-0.4	smoother-only	0.000000000000e0	1.056184204761e-16	2.096712756387e-2	7.118661364203e-2	7.521423123308e-3	1.200000000000e0	1.595442751095e2	9.924785768767e-1	9.924785768767e-1	14	true	4.823302698173e-11	28	14	9240
dominant-pair-weak-third	dominant-pair-weak-third	36	288	1	18	72	jacobi-0.5	smoother-only	0.000000000000e0	1.112721323910e-16	2.096712756387e-2	8.898326705254e-2	9.401778904136e-3	1.500000000000e0	1.595442751095e2	9.905982210959e-1	9.905982210959e-1	14	true	4.718286592407e-11	28	14	9240
dominant-pair-weak-third	dominant-pair-weak-third	36	288	1	18	72	jacobi-0.6	smoother-only	0.000000000000e0	1.011667853572e-16	2.096712756387e-2	1.067799204630e-1	1.128213468496e-2	1.800000000000e0	1.595442751095e2	9.887178653150e-1	9.887178653150e-1	14	true	4.587409897316e-11	28	14	9240
