case	method	iteration	relative_true_residual
weak-chain-depth-2	diagonal	0	1.000000000000e0
weak-chain-depth-2	diagonal	1	7.106240654921e-2
weak-chain-depth-2	diagonal	2	1.384243203418e-2
weak-chain-depth-2	diagonal	3	7.380770612962e-3
weak-chain-depth-2	diagonal	4	3.410950691898e-3
weak-chain-depth-2	diagonal	5	7.179919343537e-3
weak-chain-depth-2	diagonal	6	7.136696235342e-3
weak-chain-depth-2	diagonal	7	1.542560730325e-3
weak-chain-depth-2	diagonal	8	3.320834847608e-4
weak-chain-depth-2	diagonal	9	1.714195676571e-4
weak-chain-depth-2	diagonal	10	4.733811557931e-4
weak-chain-depth-2	diagonal	11	2.316325714599e-4
weak-chain-depth-2	diagonal	12	2.610412850590e-5
weak-chain-depth-2	diagonal	13	4.699860919912e-6
weak-chain-depth-2	diagonal	14	5.741304496411e-7
weak-chain-depth-2	diagonal	15	4.976395573712e-8
weak-chain-depth-2	diagonal	16	5.390459528588e-9
weak-chain-depth-2	diagonal	17	2.905924037371e-9
weak-chain-depth-2	diagonal	18	2.733411462664e-10
weak-chain-depth-2	diagonal	19	4.271895642572e-11
weak-chain-depth-2	symmetric-map	0	1.000000000000e0
weak-chain-depth-2	symmetric-map	1	1.022474714811e-2
weak-chain-depth-2	symmetric-map	2	1.010052703888e-2
weak-chain-depth-2	symmetric-map	3	4.370631481893e-3
weak-chain-depth-2	symmetric-map	4	3.709964672631e-3
weak-chain-depth-2	symmetric-map	5	3.014482949810e-3
weak-chain-depth-2	symmetric-map	6	9.502383966320e-5
weak-chain-depth-2	symmetric-map	7	1.172260345897e-6
weak-chain-depth-2	symmetric-map	8	1.476422925506e-8
weak-chain-depth-2	symmetric-map	9	4.929394174408e-11
weak-chain-depth-2	pair-cmg	0	1.000000000000e0
weak-chain-depth-2	pair-cmg	1	3.160726687994e-2
weak-chain-depth-2	pair-cmg	2	3.272339525355e-3
weak-chain-depth-2	pair-cmg	3	5.117288073886e-4
weak-chain-depth-2	pair-cmg	4	1.112131182372e-4
weak-chain-depth-2	pair-cmg	5	1.764234552537e-5
weak-chain-depth-2	pair-cmg	6	1.406662805495e-6
weak-chain-depth-2	pair-cmg	7	2.099546566339e-7
weak-chain-depth-2	pair-cmg	8	2.163088113745e-8
weak-chain-depth-2	pair-cmg	9	2.340416486672e-9
weak-chain-depth-2	pair-cmg	10	1.732064043541e-10
weak-chain-depth-2	pair-cmg	11	1.397376167842e-11
weak-chain-depth-2	oracle-jacobi	0	1.000000000000e0
weak-chain-depth-2	oracle-jacobi	1	1.297418102029e-2
weak-chain-depth-2	oracle-jacobi	2	1.178296181139e-3
weak-chain-depth-2	oracle-jacobi	3	1.909135685885e-4
weak-chain-depth-2	oracle-jacobi	4	2.109033001388e-5
weak-chain-depth-2	oracle-jacobi	5	1.376655442826e-6
weak-chain-depth-2	oracle-jacobi	6	1.899056293344e-7
weak-chain-depth-2	oracle-jacobi	7	1.641421800312e-8
weak-chain-depth-2	oracle-jacobi	8	1.303198082500e-9
weak-chain-depth-2	oracle-jacobi	9	1.786606191235e-10
weak-chain-depth-2	oracle-jacobi	10	2.200422951330e-11
weak-chain-depth-2	oracle-pair-finest	0	1.000000000000e0
weak-chain-depth-2	oracle-pair-finest	1	1.123572790408e-3
weak-chain-depth-2	oracle-pair-finest	2	3.216282354148e-6
weak-chain-depth-2	oracle-pair-finest	3	2.079625005840e-8
weak-chain-depth-2	oracle-pair-finest	4	8.119083675138e-11
weak-chain-depth-2	oracle-pair-first-two	0	1.000000000000e0
weak-chain-depth-2	oracle-pair-first-two	1	9.142085754928e-4
weak-chain-depth-2	oracle-pair-first-two	2	2.452724197008e-6
weak-chain-depth-2	oracle-pair-first-two	3	1.430479971447e-8
weak-chain-depth-2	oracle-pair-first-two	4	4.779561373876e-11
weak-chain-depth-2	oracle-pair-all-levels	0	1.000000000000e0
weak-chain-depth-2	oracle-pair-all-levels	1	9.142085754928e-4
weak-chain-depth-2	oracle-pair-all-levels	2	2.452724197008e-6
weak-chain-depth-2	oracle-pair-all-levels	3	1.430479971447e-8
weak-chain-depth-2	oracle-pair-all-levels	4	4.779561373876e-11
weak-chain-depth-2	oracle-map-all-levels	0	1.000000000000e0
weak-chain-depth-2	oracle-map-all-levels	1	7.561138970325e-5
weak-chain-depth-2	oracle-map-all-levels	2	7.738037198195e-8
weak-chain-depth-2	oracle-map-all-levels	3	4.364389623398e-11
community-depth-2	diagonal	0	1.000000000000e0
community-depth-2	diagonal	1	7.171495365517e-2
community-depth-2	diagonal	2	1.784402563544e-2
community-depth-2	diagonal	3	1.244177380843e-2
community-depth-2	diagonal	4	8.377319813179e-3
community-depth-2	diagonal	5	1.370450130761e-2
community-depth-2	diagonal	6	4.158901300055e-3
community-depth-2	diagonal	7	4.885919640324e-4
community-depth-2	diagonal	8	1.088624064432e-4
community-depth-2	diagonal	9	1.198104801284e-4
community-depth-2	diagonal	10	1.523894719702e-4
community-depth-2	diagonal	11	3.323151571600e-5
community-depth-2	diagonal	12	3.790402857707e-6
community-depth-2	diagonal	13	7.961378280614e-7
community-depth-2	diagonal	14	1.222072042013e-7
community-depth-2	diagonal	15	2.413255463735e-8
community-depth-2	diagonal	16	2.831336580704e-9
community-depth-2	diagonal	17	9.136819516598e-10
community-depth-2	diagonal	18	1.453320043468e-10
community-depth-2	diagonal	19	9.426489860462e-12
community-depth-2	symmetric-map	0	1.000000000000e0
community-depth-2	symmetric-map	1	1.836663622033e-2
community-depth-2	symmetric-map	2	2.472595716018e-2
community-depth-2	symmetric-map	3	5.497361203318e-3
community-depth-2	symmetric-map	4	7.782341465942e-3
community-depth-2	symmetric-map	5	3.113159697627e-4
community-depth-2	symmetric-map	6	5.447781767605e-6
community-depth-2	symmetric-map	7	1.851138433096e-7
community-depth-2	symmetric-map	8	1.142631415703e-9
community-depth-2	symmetric-map	9	1.475647764505e-11
community-depth-2	pair-cmg	0	1.000000000000e0
community-depth-2	pair-cmg	1	3.248969023077e-2
community-depth-2	pair-cmg	2	4.419742155573e-3
community-depth-2	pair-cmg	3	8.709650010981e-4
community-depth-2	pair-cmg	4	2.315653199149e-4
community-depth-2	pair-cmg	5	2.527308136983e-5
community-depth-2	pair-cmg	6	1.764803502000e-6
community-depth-2	pair-cmg	7	1.302632476940e-7
community-depth-2	pair-cmg	8	6.933567192508e-9
community-depth-2	pair-cmg	9	4.821280998953e-10
community-depth-2	pair-cmg	10	4.384366303121e-11
community-depth-2	oracle-jacobi	0	1.000000000000e0
community-depth-2	oracle-jacobi	1	1.315883184694e-2
community-depth-2	oracle-jacobi	2	1.581502315582e-3
community-depth-2	oracle-jacobi	3	2.675709552667e-4
