set	case	family	requested_seed	actual_seed	structural_skips	method	accepted	structural_admissible	selected_source	structural_baseline_selected	exact_oracle_partition	oracle_pair_recall	wrong_pair_count	fine_dimension	fine_tuples	coarse_dimension	coarse_tuples	coarse_dimension_ratio	tuple_reduction	two_level_tuple_complexity	compatible_diagonal_factor	compatible_energy_factor	baseline_map_condition	oracle_two_grid_condition	candidate_condition	oracle_improvement_recovered	pcg_iterations	pcg_converged	pcg_final_relative_residual	pcg_gramian_applications	pcg_preconditioner_applications	bootstrap_rounds	bootstrap_witnesses	repair_splits	candidate_pairs_generated	candidate_pairs_retained	retained_test_vector_bytes	retained_report_bytes_estimate	stop_reason
calibration	dominant-pair-weak-third-cover-476	dominant-pair-weak-third	476	476	0	oracle	false	true	oracle-reference	false	true	1.000000000000e0	0	36	144	18	72	5.000000000000e-1	5.000000000000e-1	1.500000000000e0	8.638396110620e-1	8.096658973623e-1	2.795616216030e1	NA	1.739291475104e0	NA	8	true	1.368968605989e-11	16	8	0	0	0	0	0	0	0	
calibration	dominant-pair-weak-third-cover-476	dominant-pair-weak-third	476	476	0	baseline-symmetric-map	true	true	baseline	false	false	0.000000000000e0	0	36	144	0	0	0.000000000000e0	0.000000000000e0	1.000000000000e0	NA	NA	2.795616216030e1	1.739291475104e0	2.795616216030e1	0.000000000000e0	13	true	7.384894912867e-11	26	13	0	0	0	0	0	0	0	baseline
calibration	dominant-pair-weak-third-cover-476	dominant-pair-weak-third	476	476	0	one-shot-pair-neighborhood	true	true	structural-baseline	false	false	0.000000000000e0	18	36	144	18	110	5.000000000000e-1	2.361111111111e-1	1.763888888889e0	7.423465163457e-1	7.218194218275e-1	2.795616216030e1	1.739291475104e0	8.906814108161e0	7.266064772137e-1	8	true	2.258042149159e-11	16	8	0	0	0	0	0	0	0	
calibration	dominant-pair-weak-third-cover-476	dominant-pair-weak-third	476	476	0	bootstrap-initial	true	true	relaxed-signature-initial	false	false	1.111111111111e-1	16	36	144	18	109	5.000000000000e-1	2.430555555556e-1	1.756944444444e0	6.992494746809e-1	6.810419723024e-1	2.795616216030e1	1.739291475104e0	5.798013894012e0	8.451866178979e-1	8	true	4.693537279822e-11	16	8	0	0	0	0	0	0	0	
calibration	dominant-pair-weak-third-cover-476	dominant-pair-weak-third	476	476	0	bootstrap-final	true	true	relaxed-signature-initial	false	false	1.111111111111e-1	16	36	144	18	109	5.000000000000e-1	2.430555555556e-1	1.756944444444e0	6.992494746809e-1	6.810419723024e-1	2.795616216030e1	1.739291475104e0	5.798013894012e0	8.451866178979e-1	8	true	4.693537279822e-11	16	8	1	0	0	198	193	1152	25616	AcceptedInitial
calibration	dominant-pair-weak-third-cover-421	dominant-pair-weak-third	421	421	0	oracle	true	true	oracle-reference	false	true	1.000000000000e0	0	36	144	18	72	5.000000000000e-1	5.000000000000e-1	1.500000000000e0	8.257364174443e-1	7.726113028270e-1	2.789858487458e1	NA	1.623275201686e0	NA	8	true	7.036389992754e-11	16	8	0	0	0	0	0	0	0	
calibration	dominant-pair-weak-third-cover-421	dominant-pair-weak-third	421	421	0	baseline-symmetric-map	true	true	baseline	false	false	0.000000000000e0	0	36	144	0	0	0.000000000000e0	0.000000000000e0	1.000000000000e0	NA	NA	2.789858487458e1	1.623275201686e0	2.789858487458e1	0.000000000000e0	14	true	2.104451290282e-12	28	14	0	0	0	0	0	0	0	baseline
calibration	dominant-pair-weak-third-cover-421	dominant-pair-weak-third	421	421	0	one-shot-pair-neighborhood	true	true	structural-baseline	false	false	0.000000000000e0	18	36	144	18	107	5.000000000000e-1	2.569444444444e-1	1.743055555556e0	7.005107296755e-1	6.803577479512e-1	2.789858487458e1	1.623275201686e0	8.858206992092e0	7.246490381855e-1	8	true	9.342856812913e-12	16	8	0	0	0	0	0	0	0	
calibration	dominant-pair-weak-third-cover-421	dominant-pair-weak-third	421	421	0	bootstrap-initial	true	true	relaxed-signature-initial	false	false	1.111111111111e-1	16	36	144	18	116	5.000000000000e-1	1.944444444444e-1	1.805555555556e0	7.073819092758e-1	6.800698350327e-1	2.789858487458e1	1.623275201686e0	5.799471656020e0	8.410600481470e-1	8	true	7.496383353063e-11	16	8	0	0	0	0	0	0	0	
calibration	dominant-pair-weak-third-cover-421	dominant-pair-weak-third	421	421	0	bootstrap-final	true	true	protected-structural-baseline	true	false	0.000000000000e0	18	36	144	18	107	5.000000000000e-1	2.569444444444e-1	1.743055555556e0	7.005107296755e-1	6.803577479512e-1	2.789858487458e1	1.623275201686e0	8.858206992092e0	7.246490381855e-1	8	true	9.342856812913e-12	16	8	1	0	0	198	194	1152	25616	AcceptedStructuralBaseline
