family	seed	fine_dimension	fine_tuples	oracle_condition	one_shot_available	one_shot_condition	bootstrap_condition	baseline_condition	bootstrap_recovery_of_oracle	one_shot_recovery_of_oracle	oracle_pair_recall	one_shot_pair_recall	bootstrap_pair_recall	one_shot_coarse_dimension	one_shot_coarse_tuples	bootstrap_coarse_dimension	bootstrap_coarse_tuples	bootstrap_accepted	bootstrap_rounds	bootstrap_witnesses	bootstrap_stop
dominant-pair-weak-third	476	36	144	1.739291475e0	true	8.906814108e0	5.798013894e0	2.795616216e1	8.451866179e-1	7.266064772e-1	1.000000000e0	0.000000000e0	1.111111111e-1	18	110	18	109	true	1	0	AcceptedInitial
dominant-pair-weak-third	421	36	144	1.623275202e0	true	8.858206992e0	5.799471656e0	2.789858487e1	8.410600481e-1	7.246490382e-1	1.000000000e0	0.000000000e0	1.111111111e-1	18	107	18	116	true	1	0	AcceptedInitial
dominant-pair-weak-third	107	36	144	1.880242317e0	true	8.899592111e0	7.647190479e0	2.815263660e1	7.804940007e-1	7.328241302e-1	1.000000000e0	0.000000000e0	5.555555556e-2	18	112	18	113	true	1	0	AcceptedInitial
dominant-pair-weak-third	441	36	144	1.876355496e0	true	8.844468241e0	7.754970247e0	2.793935551e1	7.744459676e-1	7.326434893e-1	1.000000000e0	0.000000000e0	5.555555556e-2	18	114	18	110	true	1	0	AcceptedInitial
dominant-pair-weak-third	235	36	144	2.139111381e0	true	8.883608699e0	8.439641690e0	2.781976740e1	7.546585140e-1	7.373705207e-1	1.000000000e0	0.000000000e0	0.000000000e0	18	108	18	114	true	1	0	AcceptedInitial
dominant-pair-weak-third	181	36	144	2.069518004e0	true	9.194770140e0	8.754702126e0	2.786817432e1	7.408708407e-1	7.238130525e-1	1.000000000e0	0.000000000e0	0.000000000e0	18	110	18	103	true	1	0	AcceptedInitial
dominant-pair-weak-third	437	36	144	1.511354233e0	true	7.142298313e0	6.835260387e0	2.792448484e1	7.984371398e-1	7.868126970e-1	1.000000000e0	5.555555556e-2	5.555555556e-2	18	121	18	123	true	1	0	AcceptedInitial
dominant-pair-weak-third	402	36	144	2.800008609e0	true	9.015622283e0	8.757828604e0	2.787382023e1	7.623887392e-1	7.521073474e-1	1.000000000e0	0.000000000e0	5.555555556e-2	18	104	18	119	true	1	0	AcceptedInitial
nearly-nested	175	36	144	2.068220328e0	true	4.248214823e1	3.195072937e1	9.072233989e1	6.629315232e-1	5.441393124e-1	1.000000000e0	1.666666667e-1	0.000000000e0	18	96	18	102	false	3	2	MatchingStagnated { witnesses: 2 }
nearly-nested	370	36	144	2.542326799e0	true	4.486847594e1	3.503107441e1	9.094354094e1	6.324852783e-1	5.212039840e-1	1.000000000e0	1.111111111e-1	0.000000000e0	18	87	18	99	false	7	6	WitnessBudget { maximum: 6 }
nearly-nested	118	36	144	1.780676786e0	true	4.180535803e1	3.306684533e1	9.087725409e1	6.488510615e-1	5.507719550e-1	1.000000000e0	1.111111111e-1	0.000000000e0	18	100	18	107	false	3	2	MatchingStagnated { witnesses: 2 }
nearly-nested	211	36	144	1.886496693e0	true	4.452011085e1	3.576003388e1	9.147466491e1	6.218972007e-1	5.241155723e-1	1.000000000e0	3.333333333e-1	5.555555556e-2	18	94	18	102	false	4	3	MatchingStagnated { witnesses: 3 }
nearly-nested	466	36	144	1.694096594e0	true	4.524545590e1	3.748907829e1	9.095838668e1	5.989999846e-1	5.121077056e-1	1.000000000e0	2.222222222e-1	0.000000000e0	18	104	19	110	true	4	3	AcceptedAfterBootstrap { witnesses: 3 }
nearly-nested	4	36	144	1.507398465e0	true	4.516892821e1	3.763496212e1	9.086415490e1	5.956929829e-1	5.113796484e-1	1.000000000e0	3.333333333e-1	1.111111111e-1	18	101	18	107	false	7	6	WitnessBudget { maximum: 6 }
nearly-nested	148	36	144	2.057909839e0	true	4.467213883e1	3.766715764e1	9.103320191e1	5.997849855e-1	5.210554751e-1	1.000000000e0	2.222222222e-1	5.555555556e-2	19	93	18	112	true	3	2	AcceptedAfterBootstrap { witnesses: 2 }
nearly-nested	396	36	144	1.905807618e0	true	4.274263769e1	3.579675688e1	9.083198975e1	6.188867165e-1	5.407783277e-1	1.000000000e0	2.222222222e-1	5.555555556e-2	18	103	18	93	false	3	2	MatchingStagnated { witnesses: 2 }
